SYMBOL,OPEN,HIGH,LOW,PREVCLOSE,LTP,CHNG,CHANGPercentage,VOLUME,VALUE,fiftyTwo_WH,fiftyTwo_WL,TODAY,Date_Time
NIFTY 50,"17,766.60","17,766.60","17,610.20","17,706.85","17,626.80",-80.05,-0.45,"18,52,99,012","16,37,322.25","18,887.60","18,887.60",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng1.323.55,"Tuesday, April 18, 2023 2:04 PM"
DIVISLAB,"3,174.00","3,258.80","3,153.05","3,162.65","3,246.70",84.05,2.66,"4,57,537","14,736.99","4,640.80","2,730.00",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-29.7113.30,"Tuesday, April 18, 2023 2:04 PM"
HCLTECH,"1,049.55","1,063.35","1,045.20","1,042.20","1,059.75",17.55,1.68,"28,42,757","30,027.47","1,156.65",877.35,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-7.37-5.98,"Tuesday, April 18, 2023 2:04 PM"
NESTLEIND,"20,200.00","20,578.50","20,200.00","20,244.40","20,539.15",294.75,1.46,"1,02,904","21,025.39","21,050.00","16,000.00",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng10.137.35,"Tuesday, April 18, 2023 2:04 PM"
CIPLA,905.00,919.60,897.00,906.45,917.45,11,1.21,"10,77,460","9,788.94","1,185.25",852.00,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-10.843.71,"Tuesday, April 18, 2023 2:04 PM"
INDUSINDBK,"1,130.00","1,149.45","1,127.05","1,124.35","1,137.20",12.85,1.14,"33,79,016","38,503.55","1,275.80",763.20,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng14.3310.18,"Tuesday, April 18, 2023 2:04 PM"
WIPRO,363.45,366.15,359.25,361.35,364.35,3,0.83,"28,39,521","10,284.75",549.85,352.00,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-35.38-4.02,"Tuesday, April 18, 2023 2:04 PM"
DRREDDY,"4,861.40","4,911.00","4,845.50","4,852.30","4,884.05",31.75,0.65,"2,29,279","11,215.43","4,922.95","3,789.85",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng12.879.38,"Tuesday, April 18, 2023 2:04 PM"
COALINDIA,229.60,232.25,229.25,229.60,230.90,1.3,0.57,"53,57,765","12,395.19",263.40,164.65,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng23.043.59,"Tuesday, April 18, 2023 2:04 PM"
MARUTI,"8,692.95","8,748.80","8,690.00","8,674.65","8,719.00",44.35,0.51,"1,80,362","15,735.56","9,769.00","7,062.35",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng16.134.30,"Tuesday, April 18, 2023 2:04 PM"
SUNPHARMA,999.00,"1,004.95",988.30,998.70,"1,001.45",2.75,0.28,"9,20,353","9,151.99","1,072.15",789.90,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng6.614.28,"Tuesday, April 18, 2023 2:04 PM"
EICHERMOT,"3,228.65","3,278.00","3,215.85","3,229.00","3,236.15",7.15,0.22,"4,26,483","13,873.88","3,889.65","2,310.00",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng29.608.55,"Tuesday, April 18, 2023 2:04 PM"
NTPC,170.00,170.75,169.00,169.60,169.90,0.3,0.18,"1,13,62,314","19,306.84",182.95,134.95,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng10.17-4.15,"Tuesday, April 18, 2023 2:04 PM"
INFY,"1,269.95","1,269.95","1,253.10","1,258.30","1,259.85",1.55,0.12,"96,52,573","1,21,692.88","1,672.60","1,185.30",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-28.04-11.43,"Tuesday, April 18, 2023 2:04 PM"
HINDALCO,430.00,433.00,427.90,428.70,429.15,0.45,0.1,"32,41,470","13,958.74",556.20,308.95,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-21.598.07,"Tuesday, April 18, 2023 2:04 PM"
UPL,737.15,743.10,735.25,737.15,737.80,0.65,0.09,"9,43,863","6,978.83",848.00,607.50,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-9.963.00,"Tuesday, April 18, 2023 2:04 PM"
ONGC,160.15,160.55,159.40,160.15,160.25,0.1,0.06,"59,04,555","9,446.70",179.80,119.85,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-8.094.57,"Tuesday, April 18, 2023 2:04 PM"
LT,"2,220.00","2,230.00","2,188.00","2,214.00","2,214.10",0.1,0,"19,96,146","44,039.37","2,330.00","1,456.35",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng25.740.83,"Tuesday, April 18, 2023 2:04 PM"
TATASTEEL,107.20,107.90,106.85,107.15,107.05,-0.1,-0.09,"1,79,16,001","19,214.91",136.67,82.70,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-91.880.14,"Tuesday, April 18, 2023 2:04 PM"
ASIANPAINT,"2,848.00","2,858.45","2,830.10","2,843.10","2,838.25",-4.85,-0.17,"4,70,928","13,406.52","3,582.90","2,560.00",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-7.71-0.68,"Tuesday, April 18, 2023 2:04 PM"
SBILIFE,"1,145.35","1,153.30","1,140.10","1,145.35","1,143.30",-2.05,-0.18,"3,84,755","4,415.10","1,340.35","1,033.20",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-0.146.88,"Tuesday, April 18, 2023 2:04 PM"
SBIN,545.35,548.50,540.50,544.00,542.75,-1.25,-0.23,"1,83,37,398","1,00,010.33",629.55,430.70,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng5.082.68,"Tuesday, April 18, 2023 2:04 PM"
HDFCBANK,"1,670.00","1,677.25","1,659.00","1,666.65","1,661.95",-4.7,-0.28,"1,05,06,566","1,75,420.78","1,720.00","1,271.60",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng13.775.98,"Tuesday, April 18, 2023 2:04 PM"
BRITANNIA,"4,350.95","4,374.90","4,305.10","4,338.60","4,324.80",-13.8,-0.32,"1,33,729","5,808.00","4,669.20","3,132.05",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng29.52-0.55,"Tuesday, April 18, 2023 2:04 PM"
HINDUNILVR,"2,560.00","2,560.00","2,531.85","2,551.85","2,542.75",-9.1,-0.36,"9,25,806","23,545.93","2,741.60","2,047.00",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng18.574.27,"Tuesday, April 18, 2023 2:04 PM"
